petition_id,abstract_length,label_length,numberOfSignatures
1395,44,10,2235
1396,49,10,2235
1397,50,13,2233
1398,47,12,2229
1399,46,13,2228
1400,55,9,2225
1401,48,10,2223
1402,42,13,2220
1403,55,12,2219
1404,47,11,2218
1405,25,10,2217
1406,38,11,2211
1407,46,9,2209
1408,24,11,2203
1409,44,11,2202
1410,42,13,2198
1411,50,9,2195
1412,44,7,2194
1413,47,10,2192
1414,41,6,2191
1415,46,12,2191
1416,48,12,2190
1417,41,12,2185
1418,39,8,2185
1419,56,18,2183
1420,45,9,2182
1421,45,11,2181
1422,20,9,2177
1423,50,14,2166
1424,45,15,2166
1425,30,13,2158
1426,40,13,2157
1427,47,12,2154
1428,45,11,2153
1429,54,12,2152
1430,48,11,2149
1431,50,6,2143
1432,46,9,2139
1433,49,13,2138
1434,52,14,2136
1435,37,5,2125
1436,51,12,2124
1437,55,12,2123
1438,44,12,2118
1439,52,7,2115
1440,55,14,2114
1441,54,11,2112
1442,52,12,2109
1443,46,10,2105
1444,53,12,2105
1445,58,12,2102
1446,22,9,2100
1447,44,13,2095
1448,50,8,2090
1449,51,11,2089
1450,37,12,2087
1451,49,16,2084
1452,24,13,2083
1453,41,12,2083
1454,35,8,2076
1455,28,14,2076
1456,44,13,2074
1457,43,12,2072
1458,49,11,2066
1459,46,10,2061
1460,44,8,2060
1461,48,15,2050
1462,57,13,2047
1463,52,13,2047
1464,49,12,2040
1465,52,11,2039
1466,47,13,2035
1467,45,10,2034
1468,45,10,2028
1469,53,13,2028
1470,37,7,2025
1471,52,8,2018
1472,45,12,2016
1473,52,13,2014
1474,51,14,2011
1475,52,14,2008
1476,45,15,2008
1477,32,11,2005
1478,49,13,2005
1479,51,9,2005
1480,25,15,2003
1481,48,11,2001
1482,51,15,1993
1483,41,13,1992
1484,46,9,1989
1485,51,11,1988
1486,42,11,1986
